feature_1,Design Option,Category,Family,Type,Horizontal Profile Offset,Vertical Profile Offset,Length,Family and Type,Type Id,Phase Created,Phase Demolished,Angle,Profile,Type Name,Family Name,Material,Base Level,Base Offset,Column Style,Level,Moves With Grids,Top Level,Top Offset,Volume,Host Id,Structural Material,Base Connection,Enable Analytical Model,Top Connection,Ht,b,kr,t,Keynote,A,Section Shape,Shape,W,Eccentricity,Area,Elevation at Bottom,Elevation at Bottom Survey,Elevation at Top,Elevation at Top Survey,Width,Rebar Cover - Bottom Face,Rebar Cover - Other Faces,Rebar Cover - Top Face,Default End Extension Length,Do Not Break At Inserts,Foundation Thickness,Structural Usage,Elevation from Level,Host,Schedule Level,Offset,Mark,AssetIdentifier,BarCode,Assembly Description,Description,EAN code,Installation instructions,Manufacturer,Model,OmniClass Number,OmniClass Title,Product Guid,Product data url,Technical description,Type Comments,Type Mark,URL,Thickness,Base Constraint,Top Constraint,Unconnected Height,Corner Mullion,Position,Width on side 1,Width on side 2,Wardrobe-Door,Blanket visibility,Base Offset From Level,Cutoff Level,Cutoff Offset,Related to Mass,Room Bounding,Fascia Depth,Maximum Ridge Height,Rafter Cut,Slope,Absorptance,Roughness,Default Thickness,Coarse Scale Fill Color,Coarse Scale Fill Pattern,Height Offset From Level,Perimeter,Span Direction,Structural,Display in Hidden Views,Glazing Type,Sill Height,Head Height,FRAME,Analytic Construction,Wall Closure,Core Frame Length,Core Frame Width,Full Door Handle Height,Full Panel Height,Lower Handle Height,Mid Rail Height,Panel Width,Full Height Door,MidRail,No MidRail,Top Panel Visible,Base Extension Distance,Base is Attached,Location Line,Top Extension Distance,Top is Attached,Wrapping at Ends,Wrapping at Inserts,Justification,Number,Automatically Embed,Curtain Panel,Join Condition,Adjust for Mullion Size,Layout,Spacing,Border 1 Type,Border 2 Type,Interior Type
10885923,None,OST_Windows,WK - Three Panel Window 600mm,WK - Three Panel Window 600mm,,,,WK - Three Panel Window 600mm,WK - Three Panel Window 600mm,New Construction,None,,,WK - Three Panel Window 600mm,Three Panel Window,,,,,01 FIRST,,,,0.03 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,1 m²,,,,,600,,,,,,,,,,,,488,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,500,1750,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10887046,None,OST_Windows,WK - Three Panel Window 600mm,WK - Three Panel Window 600mm,,,,WK - Three Panel Window 600mm,WK - Three Panel Window 600mm,New Construction,None,,,WK - Three Panel Window 600mm,Three Panel Window,,,,,01 FIRST,,,,0.03 m³,200 Masonary wall,,,,,,,,,202.3,,,,,,1 m²,,,,,600,,,,,,,,,,,,500,,,,TOP HUNG WINDOWS WITH FIXED PANELS,,,,,23.30.20.00,Windows,,,,,WK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6MM SOLAR LOW 'E' SAFETY GLAZING TO COMPLY WITH AAAMSA AND SANS 10400-N,500,1750,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10336683,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,11496,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,9.13 m³,,414,,No,,,,,,W1.1,,,,,,46 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10336769,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,5348,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,3.10 m³,,414,,No,,,,,,W1.1,,,,,,16 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10336966,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,476,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,2500,0.08 m³,,414,,No,,,,,,W1.1,,,,,,0 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,00 GROUND,3700,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337035,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,4726,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,2.93 m³,,414,,No,,,,,,W1.1,,,,,,15 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337114,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,400,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,0.27 m³,,414,,No,,,,,,W1.1,,,,,,1 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337148,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,303,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,0,,,,,-255,0.13 m³,,414,,No,,,,,,W1.1,,,,,,1 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,2745,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337211,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,304,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,0,,,,,-255,0.13 m³,,414,,No,,,,,,W1.1,,,,,,1 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,2745,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337326,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,2950,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,2.90 m³,,414,,No,,,,,,W1.1,,,,,,15 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337383,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,2601,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,1.95 m³,,414,,No,,,,,,W1.1,,,,,,10 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337405,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,601,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,2500,0.13 m³,,414,,No,,,,,,W1.1,,,,,,1 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,00 GROUND,3700,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337458,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,2000,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,2500,0.42 m³,,414,,No,,,,,,W1.1,,,,,,2 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,00 GROUND,3700,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337573,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,1900,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,1.29 m³,,414,,No,,,,,,W1.1,,,,,,6 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
10337778,None,OST_Walls,200 Masonary wall,200 Masonary wall,,,2650,200 Masonary wall,200 Masonary wall,New Construction,None,,,200 Masonary wall,Basic Wall,,,-1200,,,,,-255,1.76 m³,,414,,No,,,,,,W1.1,,,,,,9 m²,,,,,200,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,00 GROUND,01 FIRST,3945,,,,,,,,,,No,Yes,,,,,0.1,1,,0,Brickwork,,,,No,,,,,,,,,,,,,,,,,,,0,No,2,0,Yes,0,0,,,,,,,,,,,
